"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.49935809043741e-51,0.673109924631173,1,0.982,1.45072171936654e-46,"8","TMSB10"
2.18613880926929e-50,1.62012981414195,0.693,0.322,4.87968043616999e-46,"8","GBP4"
2.63095468034863e-50,1.18453991215666,0.908,0.624,5.87255394200618e-46,"8","PSME2"
4.52811218217815e-50,2.93453534956307,0.199,0.032,1.01071992018399e-45,"8","FFAR2"
5.55921358854785e-50,1.40144744892325,0.639,0.285,1.24087206509977e-45,"8","SMCO4"
6.16422221616483e-50,2.11433093833371,0.459,0.159,1.37591604087015e-45,"8","ANKRD22"
1.07427825255013e-49,2.06058609248796,0.339,0.088,2.39789648751715e-45,"8","HES4"
2.89916215254824e-49,1.30287664791679,0.763,0.413,6.47121984070293e-45,"8","ATG3"
1.33735484541659e-48,2.0864940408963,0.263,0.055,2.98510975045436e-44,"8","MEFV"
1.69163914572493e-48,2.86889107425317,0.206,0.035,3.77590773717262e-44,"8","ADGRE1"
8.39434138591712e-48,2.15438221428112,0.408,0.129,1.87370094075056e-43,"8","ICAM2"
1.00454351314199e-47,1.76909544593194,0.528,0.21,2.24224157568425e-43,"8","PSTPIP2"
1.88091932395314e-47,0.827997842196748,0.959,0.794,4.19840002299581e-43,"8","ARPC2"
2.04671099816915e-47,1.21868903458151,0.851,0.515,4.56846361901336e-43,"8","CD48"
2.04724330652503e-47,1.56964373124904,0.449,0.144,4.56965178449451e-43,"8","RIPOR2"
1.56585955584274e-46,6.37347850584932,0.12,0.013,3.49515511459657e-42,"8","LYPD2"
1.58551837756787e-46,1.26719627630305,0.864,0.564,3.53903557056924e-42,"8","LYN"
6.96330793543618e-46,1.14821618670175,0.832,0.509,1.55427996426871e-41,"8","PSMA4"
1.4613796108265e-45,1.3288685475171,0.703,0.367,3.26194542932584e-41,"8","UBE2L6"
1.48571549512568e-45,1.87755861391212,0.38,0.114,3.31626555667002e-41,"8","SLC2A6"
1.55184087262287e-45,1.11290948568403,0.873,0.592,3.4638640117815e-41,"8","DRAP1"
2.99775540996929e-45,1.39805079039784,0.636,0.295,6.69128985059245e-41,"8","MYD88"
3.14841609340929e-45,1.55713559941342,0.655,0.313,7.02757956209888e-41,"8","FPR1"
3.66099177989707e-45,1.40466893373958,0.687,0.331,8.17169975190824e-41,"8","PILRA"
