"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Mac-Cycling",2,0.0551369016838444
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident",2,0.0447699520306042
"Early","CCL","Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident",2,0.0321132843491348
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident",2,0.109741574086164
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",2,0.0618334707988815
"Early","CCL","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",2,0.0305194357041911
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Mac-OLFML3-CX3CR1-resident",4,0.0897090105801023
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Mac-TNF-CCL4-inflammatory",2,0.0183305496903947
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","Mono-FCN1-S100A8-S100A9",2,0.0536735399133835
"Early","CCL","Mono-FCN1-S100A8-S100A9","Mono-FCN1-S100A8-S100A9",3,0.052414750887113
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Mono-FCN1-S100A8-S100A9",2,0.0401300849084594
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Myeloid",2,0.0176876773006812
"Advanced","CCL","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",4,0.0961917460607952
"Early","CCL","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",5,0.057608289024363
"Non-malignant","CCL","Mono-FCN1-S100A8-S100A9","Myeloid-CLEC10A-APC",4,0.0564786333777661
"Advanced","CCL","Myeloid","C6-SLC2A1-like",3,0.0482007419153659
"Early","CCL","Myeloid","C6-SLC2A1-like",3,0.00491506414563696
"Non-malignant","CCL","Myeloid","C6-SLC2A1-like",4,0.0605329525023625
"Advanced","CCL","Myeloid","C7-APOBEC3A-like",3,0.0527831736179934
"Non-malignant","CCL","Myeloid","C7-APOBEC3A-like",4,0.0554304559013455
"Advanced","CCL","Myeloid","Mac-Cycling",3,0.0257283248289721
"Non-malignant","CCL","Myeloid","Mac-Cycling",2,0.0221630124777446
"Advanced","CCL","Myeloid","Mac-FOLR2-LYVE1-resident",3,0.0187851735071689
"Early","CCL","Myeloid","Mac-FOLR2-LYVE1-resident",1,0.00119301153693495
"Non-malignant","CCL","Myeloid","Mac-FOLR2-LYVE1-resident",2,0.0448586204485012
"Advanced","CCL","Myeloid","Mac-OLFML3-CX3CR1-resident",3,0.0260973628651969
"Non-malignant","CCL","Myeloid","Mac-OLFML3-CX3CR1-resident",4,0.0354852819519906
"Non-malignant","CCL","Myeloid","Mac-TNF-CCL4-inflammatory",2,0.0072864427351919
"Advanced","CCL","Myeloid","Mono-FCN1-S100A8-S100A9",3,0.0225899213781762
"Non-malignant","CCL","Myeloid","Mono-FCN1-S100A8-S100A9",2,0.016057361336489
"Advanced","CCL","Myeloid","Myeloid-CLEC10A-APC",6,0.04094594255827
"Early","CCL","Myeloid","Myeloid-CLEC10A-APC",2,0.00103948387422314
"Non-malignant","CCL","Myeloid","Myeloid-CLEC10A-APC",4,0.021392604457118
"Advanced","CCL","Myeloid-CLEC10A-APC","B cell_plasma",1,0.00157505741607428
"Early","CCL","Myeloid-CLEC10A-APC","B cell_plasma",1,0.00322963130296621
"Advanced","CCL","Myeloid-CLEC10A-APC","C6-SLC2A1-like",3,0.15798241021845
"Early","CCL","Myeloid-CLEC10A-APC","C6-SLC2A1-like",5,0.181231376818469
"Non-malignant","CCL","Myeloid-CLEC10A-APC","C6-SLC2A1-like",4,0.339356829680458
"Advanced","CCL","Myeloid-CLEC10A-APC","C7-APOBEC3A-like",3,0.172107897052617
"Early","CCL","Myeloid-CLEC10A-APC","C7-APOBEC3A-like",4,0.210737165649448
"Non-malignant","CCL","Myeloid-CLEC10A-APC","C7-APOBEC3A-like",5,0.326868376554944
"Early","CCL","Myeloid-CLEC10A-APC","Cell cycle cell",6,0.0790933841754452
"Advanced","CCL","Myeloid-CLEC10A-APC","Endothelia",2,0.0110591758032074
"Early","CCL","Myeloid-CLEC10A-APC","Endothelia",2,0.0138692855184981
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Endothelia",1,0.00530246583146825
"Advanced","CCL","Myeloid-CLEC10A-APC","Mac-Cycling",3,0.0865375059433663
"Early","CCL","Myeloid-CLEC10A-APC","Mac-Cycling",2,0.120336437019445
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Mac-Cycling",2,0.128100345221175
"Advanced","CCL","Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident",3,0.0637017348714737
"Early","CCL","Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident",3,0.0557460618944555
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident",2,0.245862981203174
"Advanced","CCL","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",3,0.0877409074883448
"Early","CCL","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",2,0.0520431866868085
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Mac-OLFML3-CX3CR1-resident",4,0.205131692514013
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Mac-TNF-CCL4-inflammatory",2,0.0436775546863501
"Advanced","CCL","Myeloid-CLEC10A-APC","Mono-FCN1-S100A8-S100A9",4,0.084522831981732
"Early","CCL","Myeloid-CLEC10A-APC","Mono-FCN1-S100A8-S100A9",3,0.0881317102956773
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Mono-FCN1-S100A8-S100A9",2,0.094193118935843
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Myeloid",2,0.0421645841163422
"Advanced","CCL","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",7,0.143157927276531
"Early","CCL","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",6,0.0960670055953252
"Non-malignant","CCL","Myeloid-CLEC10A-APC","Myeloid-CLEC10A-APC",4,0.132089637820618
"Advanced","CCL","Other T","C6-SLC2A1-like",1,0.0144586129646321
"Early","CCL","Other T","C6-SLC2A1-like",3,0.0170097536100429
"Non-malignant","CCL","Other T","C6-SLC2A1-like",3,0.0333675717147834
"Advanced","CCL","Other T","C7-APOBEC3A-like",1,0.0158435662185999
"Early","CCL","Other T","C7-APOBEC3A-like",1,0.0157411286083103
"Non-malignant","CCL","Other T","C7-APOBEC3A-like",3,0.0314262839951745
"Advanced","CCL","Other T","Mac-Cycling",1,0.00769275120265224
"Early","CCL","Other T","Mac-Cycling",1,0.0106038360903894
"Non-malignant","CCL","Other T","Mac-Cycling",1,0.0116635911715632
"Advanced","CCL","Other T","Mac-FOLR2-LYVE1-resident",1,0.00561111984269022
"Early","CCL","Other T","Mac-FOLR2-LYVE1-resident",1,0.00468711161527322
"Non-malignant","CCL","Other T","Mac-FOLR2-LYVE1-resident",1,0.0236041096180209
"Advanced","CCL","Other T","Mac-OLFML3-CX3CR1-resident",1,0.00780350897528624
"Early","CCL","Other T","Mac-OLFML3-CX3CR1-resident",1,0.00445176697574961
"Non-malignant","CCL","Other T","Mac-OLFML3-CX3CR1-resident",3,0.0192559846341087
"Non-malignant","CCL","Other T","Mac-TNF-CCL4-inflammatory",1,0.00383492734612005
"Advanced","CCL","Other T","Mono-FCN1-S100A8-S100A9",1,0.0067513097057655
"Early","CCL","Other T","Mono-FCN1-S100A8-S100A9",1,0.0073608237555918
"Non-malignant","CCL","Other T","Mono-FCN1-S100A8-S100A9",1,0.00845071665788077
"Advanced","CCL","Other T","Myeloid-CLEC10A-APC",3,0.0129541368076051
"Early","CCL","Other T","Myeloid-CLEC10A-APC",3,0.00875860031987004
"Non-malignant","CCL","Other T","Myeloid-CLEC10A-APC",3,0.0121227464112062
"Early","CCL","SMC_myoFibroblast","C6-SLC2A1-like",1,0.00152067127270307
"Non-malignant","CCL","SMC_myoFibroblast","C6-SLC2A1-like",1,0.000427014111046893
"Early","CCL","SMC_myoFibroblast","C7-APOBEC3A-like",1,0.0016927263390535
"Non-malignant","CCL","SMC_myoFibroblast","C7-APOBEC3A-like",2,0.00381776666106548
"Early","CCL","SMC_myoFibroblast","Mac-Cycling",1,0.00113499923071829
"Early","CCL","SMC_myoFibroblast","Mac-FOLR2-LYVE1-resident",1,0.000499027955945679
"Early","CCL","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",1,0.000473871136271254
"Non-malignant","CCL","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",1,0.000163504596184024
"Advanced","CCL","SMC_myoFibroblast","Mono-FCN1-S100A8-S100A9",1,0.00115965999358712
"Early","CCL","SMC_myoFibroblast","Mono-FCN1-S100A8-S100A9",3,0.0029361394070102
"Advanced","CCL","SMC_myoFibroblast","Myeloid-CLEC10A-APC",1,0.000545301849183905
"Early","CCL","SMC_myoFibroblast","Myeloid-CLEC10A-APC",3,0.00235361223315988
"Non-malignant","CCL","SMC_myoFibroblast","Myeloid-CLEC10A-APC",1,0.00024279301952808
"Early","CXCL","C6-SLC2A1-like","B cell_plasma",2,0.00097547775664385
"Advanced","CXCL","C6-SLC2A1-like","CD8 T",1,0.00676236702483941
"Early","CXCL","C6-SLC2A1-like","CD8 T",3,0.0161680600796492
"Advanced","CXCL","C6-SLC2A1-like","Cell cycle cell",1,0.00288076271255948
"Early","CXCL","C6-SLC2A1-like","Cell cycle cell",3,0.00901223906954189
"Advanced","CXCL","C6-SLC2A1-like","Endothelia",3,0.0508113417788195
"Early","CXCL","C6-SLC2A1-like","Endothelia",6,0.208664201912121
"Non-malignant","CXCL","C6-SLC2A1-like","Endothelia",4,0.126659349727012
"Early","CXCL","C6-SLC2A1-like","Other T",2,0.00433745082024409
"Early","CXCL","C7-APOBEC3A-like","B cell_plasma",3,0.0132576680124643
"Advanced","CXCL","C7-APOBEC3A-like","CD8 T",4,0.0508811622274923
"Early","CXCL","C7-APOBEC3A-like","CD8 T",4,0.0618965816750716
"Advanced","CXCL","C7-APOBEC3A-like","Cell cycle cell",4,0.0381004488655688
"Early","CXCL","C7-APOBEC3A-like","Cell cycle cell",4,0.0494325989974581
"Advanced","CXCL","C7-APOBEC3A-like","Endothelia",7,0.0596473997370622
"Early","CXCL","C7-APOBEC3A-like","Endothelia",7,0.223587739978114
"Non-malignant","CXCL","C7-APOBEC3A-like","Endothelia",3,0.0222988814165899
"Advanced","CXCL","C7-APOBEC3A-like","Other T",3,0.0442183450161864
"Early","CXCL","C7-APOBEC3A-like","Other T",3,0.0581221099628358
"Early","CXCL","C7-APOBEC3A-like","SMC_myoFibroblast",1,0.0101539983985096
"Non-malignant","CXCL","Cell cycle cell","C6-SLC2A1-like",1,0.00192541385617582
"Non-malignant","CXCL","Cell cycle cell","C7-APOBEC3A-like",1,0.00371321917398612
"Non-malignant","CXCL","Cell cycle cell","Mac-Cycling",1,0.00128038120121998
"Non-malignant","CXCL","Cell cycle cell","Mac-FOLR2-LYVE1-resident",1,0.00104433547969192
"Non-malignant","CXCL","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",1,0.00736327687253004
"Non-malignant","CXCL","Cell cycle cell","Mac-TNF-CCL4-inflammatory",1,0.00142552265899273
"Non-malignant","CXCL","Cell cycle cell","Mono-FCN1-S100A8-S100A9",1,0.00133069455368577
"Non-malignant","CXCL","Cell cycle cell","Myeloid-CLEC10A-APC",1,0.00500004095071917
"Non-malignant","CXCL","Epithelia","C6-SLC2A1-like",1,0.00403549538385173
"Non-malignant","CXCL","Epithelia","C7-APOBEC3A-like",1,0.00776732787984741
"Non-malignant","CXCL","Epithelia","Mac-Cycling",1,0.00268546659395167
"Non-malignant","CXCL","Epithelia","Mac-FOLR2-LYVE1-resident",1,0.00219095347055429
"Non-malignant","CXCL","Epithelia","Mac-OLFML3-CX3CR1-resident",1,0.0153411696097568
"Non-malignant","CXCL","Epithelia","Mac-TNF-CCL4-inflammatory",1,0.00298940897123672
"Non-malignant","CXCL","Epithelia","Mono-FCN1-S100A8-S100A9",1,0.00279083933533465
"Non-malignant","CXCL","Epithelia","Myeloid-CLEC10A-APC",1,0.0104443786220268
"Advanced","CXCL","Fibroblast","C6-SLC2A1-like",1,0.0436849694944337
"Early","CXCL","Fibroblast","C6-SLC2A1-like",1,0.00395293387649976
"Non-malignant","CXCL","Fibroblast","C6-SLC2A1-like",1,0.0123007152976765
"Advanced","CXCL","Fibroblast","C7-APOBEC3A-like",1,0.0322714742038682
"Early","CXCL","Fibroblast","C7-APOBEC3A-like",1,0.00135723280460788
"Non-malignant","CXCL","Fibroblast","C7-APOBEC3A-like",1,0.0234955161581992
"Advanced","CXCL","Fibroblast","Mac-Cycling",1,0.0187988276995389
"Early","CXCL","Fibroblast","Mac-Cycling",1,0.00173370758619569
"Non-malignant","CXCL","Fibroblast","Mac-Cycling",1,0.00820844037616103
"Advanced","CXCL","Fibroblast","Mac-FOLR2-LYVE1-resident",1,0.0378775174641949
"Early","CXCL","Fibroblast","Mac-FOLR2-LYVE1-resident",1,0.00145197726295317
"Non-malignant","CXCL","Fibroblast","Mac-FOLR2-LYVE1-resident",1,0.00670373983123925
"Advanced","CXCL","Fibroblast","Mac-NUPR1-IGF2-stress",1,0.0162640678315814
"Advanced","CXCL","Fibroblast","Mac-OLFML3-CX3CR1-resident",1,0.0489738010820005
"Early","CXCL","Fibroblast","Mac-OLFML3-CX3CR1-resident",1,0.00336478045015621
"Non-malignant","CXCL","Fibroblast","Mac-OLFML3-CX3CR1-resident",1,0.0456994023774828
"Advanced","CXCL","Fibroblast","Mac-TNF-CCL4-inflammatory",1,0.046836256635187
"Early","CXCL","Fibroblast","Mac-TNF-CCL4-inflammatory",1,0.00395893238913557
"Non-malignant","CXCL","Fibroblast","Mac-TNF-CCL4-inflammatory",1,0.00913175197160905
"Advanced","CXCL","Fibroblast","Mono-FCN1-S100A8-S100A9",1,0.0110001865775046
"Early","CXCL","Fibroblast","Mono-FCN1-S100A8-S100A9",1,0.00284526191871428
"Non-malignant","CXCL","Fibroblast","Mono-FCN1-S100A8-S100A9",1,0.00852867115597644
"Advanced","CXCL","Fibroblast","Myeloid-CLEC10A-APC",1,0.0329158826088384
"Early","CXCL","Fibroblast","Myeloid-CLEC10A-APC",1,0.00436246919661963
"Non-malignant","CXCL","Fibroblast","Myeloid-CLEC10A-APC",1,0.0314217061265727
"Early","CXCL","Mac-Cycling","B cell_plasma",3,0.00413423637257694
"Advanced","CXCL","Mac-Cycling","CD8 T",1,0.00282031902201178
"Early","CXCL","Mac-Cycling","CD8 T",4,0.0175860617265893
"Advanced","CXCL","Mac-Cycling","Cell cycle cell",1,0.00119872268765757
"Early","CXCL","Mac-Cycling","Cell cycle cell",4,0.0146488720894222
"Advanced","CXCL","Mac-Cycling","Endothelia",3,0.0304947553880115
"Early","CXCL","Mac-Cycling","Endothelia",7,0.135027133933475
"Non-malignant","CXCL","Mac-Cycling","Endothelia",2,0.00948530987338785
"Early","CXCL","Mac-Cycling","Other T",3,0.0183102626080492
"Early","CXCL","Mac-Cycling","SMC_myoFibroblast",1,0.00193934226475844
"Advanced","CXCL","Mac-FOLR2-LYVE1-resident","CD8 T",1,0.00833459489042682
"Early","CXCL","Mac-FOLR2-LYVE1-resident","CD8 T",1,0.00422635374183896
"Advanced","CXCL","Mac-FOLR2-LYVE1-resident","Cell cycle cell",1,0.00355375943355193
"Early","CXCL","Mac-FOLR2-LYVE1-resident","Cell cycle cell",1,0.0019429682171556
"Advanced","CXCL","Mac-FOLR2-LYVE1-resident","Endothelia",1,0.00456723917063402
"Early","CXCL","Mac-FOLR2-LYVE1-resident","Endothelia",1,0.0132883521580154
"Non-malignant","CXCL","Mac-FOLR2-LYVE1-resident","Endothelia",2,0.00738258850245267
"Early","CXCL","Mac-NUPR1-IGF2-stress","B cell_plasma",1,0.000289639898970622
"Early","CXCL","Mac-NUPR1-IGF2-stress","CD8 T",2,0.0063543922503546
"Early","CXCL","Mac-NUPR1-IGF2-stress","Cell cycle cell",2,0.00338393824803138
"Advanced","CXCL","Mac-NUPR1-IGF2-stress","Endothelia",2,0.0223761448741892
"Early","CXCL","Mac-NUPR1-IGF2-stress","Endothelia",1,0.00315189591956297
"Non-malignant","CXCL","Mac-NUPR1-IGF2-stress","Endothelia",1,0.000110670320358482
"Early","CXCL","Mac-NUPR1-IGF2-stress","Other T",1,0.00128919935681078
"Early","CXCL","Mac-OLFML3-CX3CR1-resident","B cell_plasma",2,0.0010364784852335
"Advanced","CXCL","Mac-OLFML3-CX3CR1-resident","CD8 T",1,0.0100754512728211
"Early","CXCL","Mac-OLFML3-CX3CR1-resident","CD8 T",3,0.0151524600082406
"Advanced","CXCL","Mac-OLFML3-CX3CR1-resident","Cell cycle cell",1,0.00430036758405374
"Early","CXCL","Mac-OLFML3-CX3CR1-resident","Cell cycle cell",3,0.00863582012124401
"Advanced","CXCL","Mac-OLFML3-CX3CR1-resident","Endothelia",2,0.0203939955254659
"Early","CXCL","Mac-OLFML3-CX3CR1-resident","Endothelia",5,0.0615032259458315
"Non-malignant","CXCL","Mac-OLFML3-CX3CR1-resident","Endothelia",3,0.0355763133727793
"Early","CXCL","Mac-OLFML3-CX3CR1-resident","Other T",2,0.00460648575752419
"Advanced","CXCL","Mac-TNF-CCL4-inflammatory","CD8 T",1,0.00292285846484371
"Early","CXCL","Mac-TNF-CCL4-inflammatory","CD8 T",1,0.0111995365706283
"Advanced","CXCL","Mac-TNF-CCL4-inflammatory","Cell cycle cell",1,0.00124237857180332
"Early","CXCL","Mac-TNF-CCL4-inflammatory","Cell cycle cell",1,0.00516828121437677
"Advanced","CXCL","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.0390726117375126
"Early","CXCL","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.108524645617571
"Non-malignant","CXCL","Mac-TNF-CCL4-inflammatory","Endothelia",3,0.133410924044876
"Early","CXCL","Mono-FCN1-S100A8-S100A9","B cell_plasma",1,0.000552422724905695
"Advanced","CXCL","Mono-FCN1-S100A8-S100A9","CD8 T",1,0.00220233064672184
"Early","CXCL","Mono-FCN1-S100A8-S100A9","CD8 T",2,0.00525682841247327
"Advanced","CXCL","Mono-FCN1-S100A8-S100A9","Cell cycle cell",1,0.000935725115907269
"Early","CXCL","Mono-FCN1-S100A8-S100A9","Cell cycle cell",2,0.0032951292533293
"Advanced","CXCL","Mono-FCN1-S100A8-S100A9","Endothelia",3,0.0429372848588475
"Early","CXCL","Mono-FCN1-S100A8-S100A9","Endothelia",2,0.0503766884900536
"Non-malignant","CXCL","Mono-FCN1-S100A8-S100A9","Endothelia",3,0.0250636582456397
"Early","CXCL","Mono-FCN1-S100A8-S100A9","Other T",1,0.00245662825423777
"Advanced","CXCL","Myeloid-CLEC10A-APC","CD8 T",1,0.00489586790504084
"Early","CXCL","Myeloid-CLEC10A-APC","CD8 T",1,0.0102510629798171
"Advanced","CXCL","Myeloid-CLEC10A-APC","Cell cycle cell",1,0.00208338836323926
"Early","CXCL","Myeloid-CLEC10A-APC","Cell cycle cell",1,0.00472814408524714
"Advanced","CXCL","Myeloid-CLEC10A-APC","Endothelia",3,0.0597639962959295
"Early","CXCL","Myeloid-CLEC10A-APC","Endothelia",3,0.15681294545956
"Non-malignant","CXCL","Myeloid-CLEC10A-APC","Endothelia",3,0.115285258903166
"Non-malignant","CXCL","SMC_myoFibroblast","C6-SLC2A1-like",1,0.00373033372248648
"Non-malignant","CXCL","SMC_myoFibroblast","C7-APOBEC3A-like",1,0.00718200232158249
"Non-malignant","CXCL","SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident",1,0.0141932632514237
"Non-malignant","CXCL","SMC_myoFibroblast","Mac-TNF-CCL4-inflammatory",1,0.00276313225488028
"Non-malignant","CXCL","SMC_myoFibroblast","Mono-FCN1-S100A8-S100A9",1,0.00257955402175365
"Non-malignant","CXCL","SMC_myoFibroblast","Myeloid-CLEC10A-APC",1,0.00965928138082851
"Advanced","TGFb","B cell_plasma","C6-SLC2A1-like",1,0.0004758409823269
"Early","TGFb","B cell_plasma","C6-SLC2A1-like",1,0.00024768188878814
"Early","TGFb","B cell_plasma","C7-APOBEC3A-like",1,9.12257177953405e-05
"Early","TGFb","B cell_plasma","Mac-OLFML3-CX3CR1-resident",1,0.000409709612207817
"Advanced","TGFb","B cell_plasma","Myeloid-CLEC10A-APC",1,0.000293071273566039
"Advanced","TGFb","C6-SLC2A1-like","C6-SLC2A1-like",2,0.00518342248103269
"Early","TGFb","C6-SLC2A1-like","C6-SLC2A1-like",1,0.00517777805260264
"Non-malignant","TGFb","C6-SLC2A1-like","C6-SLC2A1-like",1,0.0123426624863085
"Early","TGFb","C6-SLC2A1-like","C7-APOBEC3A-like",2,0.0119215509273992
"Non-malignant","TGFb","C6-SLC2A1-like","Cell cycle cell",1,0.00560661783107436
"Non-malignant","TGFb","C6-SLC2A1-like","Endothelia",2,0.0107982496509635
"Advanced","TGFb","C6-SLC2A1-like","Epithelia",1,0.000670828418293465
"Early","TGFb","C6-SLC2A1-like","Epithelia",2,0.00148775103282712
"Advanced","TGFb","C6-SLC2A1-like","Fibroblast",1,0.00197435796147698
"Early","TGFb","C6-SLC2A1-like","Fibroblast",3,0.00394783889337395
"Non-malignant","TGFb","C6-SLC2A1-like","Fibroblast",1,0.00159631323128477
"Advanced","TGFb","C6-SLC2A1-like","Mac-Cycling",1,0.0022465110240412
"Early","TGFb","C6-SLC2A1-like","Mac-Cycling",1,0.00373325775092188
"Non-malignant","TGFb","C6-SLC2A1-like","Mac-Cycling",1,0.0208411057240285
"Advanced","TGFb","C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident",1,0.00271106386456793
"Non-malignant","TGFb","C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident",1,0.00536533759742701
"Advanced","TGFb","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.00617232315021102
"Early","TGFb","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.00853741855823587
"Non-malignant","TGFb","C6-SLC2A1-like","Mac-OLFML3-CX3CR1-resident",1,0.0130508857633443
"Advanced","TGFb","C6-SLC2A1-like","Myeloid",1,0.00174151528684357
"Advanced","TGFb","C6-SLC2A1-like","Myeloid-CLEC10A-APC",2,0.00429602635830588
"Early","TGFb","C6-SLC2A1-like","Myeloid-CLEC10A-APC",1,0.0044404805799919
"Non-malignant","TGFb","C6-SLC2A1-like","Myeloid-CLEC10A-APC",1,0.00739146153333675
"Advanced","TGFb","C6-SLC2A1-like","SMC_myoFibroblast",1,0.00105507951390428
"Early","TGFb","C6-SLC2A1-like","SMC_myoFibroblast",1,0.00408770054319238
"Advanced","TGFb","C7-APOBEC3A-like","C6-SLC2A1-like",2,0.0237182027034026
"Early","TGFb","C7-APOBEC3A-like","C6-SLC2A1-like",1,0.00783045012466177
"Non-malignant","TGFb","C7-APOBEC3A-like","C6-SLC2A1-like",1,0.0111299550435243
"Advanced","TGFb","C7-APOBEC3A-like","C7-APOBEC3A-like",1,0.00670058879357784
"Early","TGFb","C7-APOBEC3A-like","C7-APOBEC3A-like",2,0.017996494236296
"Advanced","TGFb","C7-APOBEC3A-like","Cell cycle cell",1,0.00328073656363441
"Non-malignant","TGFb","C7-APOBEC3A-like","Cell cycle cell",1,0.00505594485670577
"Non-malignant","TGFb","C7-APOBEC3A-like","Endothelia",2,0.0100129057945478
"Advanced","TGFb","C7-APOBEC3A-like","Epithelia",1,0.00309166622397095
"Early","TGFb","C7-APOBEC3A-like","Epithelia",2,0.00225502549186352
"Advanced","TGFb","C7-APOBEC3A-like","Fibroblast",2,0.0117738835351471
"Early","TGFb","C7-APOBEC3A-like","Fibroblast",3,0.00597873850536133
"Non-malignant","TGFb","C7-APOBEC3A-like","Fibroblast",1,0.00143955739587915
"Advanced","TGFb","C7-APOBEC3A-like","Mac-Cycling",1,0.0102956203643756
"Early","TGFb","C7-APOBEC3A-like","Mac-Cycling",1,0.00565007831462455
"Non-malignant","TGFb","C7-APOBEC3A-like","Mac-Cycling",1,0.0187915840562851
"Advanced","TGFb","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",1,0.0124039447481044
"Non-malignant","TGFb","C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident",1,0.004838402303123
"Advanced","TGFb","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.0278941326450667
"Early","TGFb","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.0128889969070157
"Non-malignant","TGFb","C7-APOBEC3A-like","Mac-OLFML3-CX3CR1-resident",1,0.0117683066414211
"Advanced","TGFb","C7-APOBEC3A-like","Myeloid",1,0.00799575613686049
"Advanced","TGFb","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",2,0.0196717509316114
"Early","TGFb","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",1,0.00671797222855816
"Non-malignant","TGFb","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",1,0.00666547445529473
"Advanced","TGFb","C7-APOBEC3A-like","SMC_myoFibroblast",2,0.00773569907677194
"Early","TGFb","C7-APOBEC3A-like","SMC_myoFibroblast",1,0.00618449142163483
"Advanced","TGFb","CD8 T","C6-SLC2A1-like",2,0.00871900743529256
"Early","TGFb","CD8 T","C6-SLC2A1-like",1,0.00227501930476582
"Non-malignant","TGFb","CD8 T","C6-SLC2A1-like",1,0.00486746964763273
"Advanced","TGFb","CD8 T","C7-APOBEC3A-like",1,0.00245443664278662
"Early","TGFb","CD8 T","C7-APOBEC3A-like",2,0.00524856813607243
"Advanced","TGFb","CD8 T","Mac-Cycling",1,0.00377997208477588
"Early","TGFb","CD8 T","Mac-Cycling",1,0.00163898976734234
"Non-malignant","TGFb","CD8 T","Mac-Cycling",1,0.00825800219196026
"Advanced","TGFb","CD8 T","Mac-FOLR2-LYVE1-resident",1,0.00456017787288678
"Non-malignant","TGFb","CD8 T","Mac-FOLR2-LYVE1-resident",1,0.00211102994388551
"Advanced","TGFb","CD8 T","Mac-OLFML3-CX3CR1-resident",1,0.010357712161644
"Early","TGFb","CD8 T","Mac-OLFML3-CX3CR1-resident",1,0.00375829832251431
"Non-malignant","TGFb","CD8 T","Mac-OLFML3-CX3CR1-resident",1,0.00515291228096668
"Advanced","TGFb","CD8 T","Myeloid-CLEC10A-APC",2,0.00722730423726097
"Early","TGFb","CD8 T","Myeloid-CLEC10A-APC",1,0.00195025419931069
"Non-malignant","TGFb","CD8 T","Myeloid-CLEC10A-APC",1,0.00290959054393449
"Advanced","TGFb","Cell cycle cell","C6-SLC2A1-like",2,0.00710924998851344
"Early","TGFb","Cell cycle cell","C6-SLC2A1-like",1,0.0033597519441975
"Non-malignant","TGFb","Cell cycle cell","C6-SLC2A1-like",1,0.00370576695926894
"Advanced","TGFb","Cell cycle cell","C7-APOBEC3A-like",1,0.00200051966955616
"Early","TGFb","Cell cycle cell","C7-APOBEC3A-like",2,0.00774530822837616
"Advanced","TGFb","Cell cycle cell","Mac-Cycling",1,0.00308167142134249
"Early","TGFb","Cell cycle cell","Mac-Cycling",1,0.00242119848954916
"Non-malignant","TGFb","Cell cycle cell","Mac-Cycling",1,0.00629106750521126
"Advanced","TGFb","Cell cycle cell","Mac-FOLR2-LYVE1-resident",1,0.00371828230111551
"Non-malignant","TGFb","Cell cycle cell","Mac-FOLR2-LYVE1-resident",1,0.00160670781061415
"Advanced","TGFb","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",1,0.00845457216918783
"Early","TGFb","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",1,0.00554632916437542
