"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Advanced","CCL","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",6,0.105404252689825
"Early","CCL","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",7,0.12055970620185
"Non-malignant","CCL","C7-APOBEC3A-like","Mono-FCN1-S100A8-S100A9",2,0.0408751208564362
"Non-malignant","CCL","C7-APOBEC3A-like","Myeloid",2,0.0180283863782607
"Advanced","CCL","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",9,0.174255525985153
"Early","CCL","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",10,0.121519481288602
"Non-malignant","CCL","C7-APOBEC3A-like","Myeloid-CLEC10A-APC",4,0.0591630909196377
"Advanced","CCL","CD8 T","C6-SLC2A1-like",2,0.149135974270834
"Early","CCL","CD8 T","C6-SLC2A1-like",5,0.138352528074981
"Non-malignant","CCL","CD8 T","C6-SLC2A1-like",6,0.251444679887227
"Advanced","CCL","CD8 T","C7-APOBEC3A-like",2,0.162154335081503
"Early","CCL","CD8 T","C7-APOBEC3A-like",5,0.165523308066785
"Non-malignant","CCL","CD8 T","C7-APOBEC3A-like",6,0.250423592540961
"Advanced","CCL","CD8 T","Mac-Cycling",2,0.0825234021980876
"Early","CCL","CD8 T","Mac-Cycling",2,0.0855309374066685
"Non-malignant","CCL","CD8 T","Mac-Cycling",3,0.0856016373908529
"Advanced","CCL","CD8 T","Mac-FOLR2-LYVE1-resident",2,0.0609498712940448
"Early","CCL","CD8 T","Mac-FOLR2-LYVE1-resident",2,0.0389472687384741
"Non-malignant","CCL","CD8 T","Mac-FOLR2-LYVE1-resident",3,0.165695104856157
"Advanced","CCL","CD8 T","Mac-OLFML3-CX3CR1-resident",2,0.0836563862235449
"Early","CCL","CD8 T","Mac-OLFML3-CX3CR1-resident",2,0.037036372286502
"Non-malignant","CCL","CD8 T","Mac-OLFML3-CX3CR1-resident",6,0.146228240508703
"Non-malignant","CCL","CD8 T","Mac-TNF-CCL4-inflammatory",3,0.0290300719605523
"Advanced","CCL","CD8 T","Mono-FCN1-S100A8-S100A9",2,0.0728328033201506
"Early","CCL","CD8 T","Mono-FCN1-S100A8-S100A9",2,0.0603392653220616
"Non-malignant","CCL","CD8 T","Mono-FCN1-S100A8-S100A9",3,0.062803246894597
"Advanced","CCL","CD8 T","Myeloid-CLEC10A-APC",5,0.137504475352024
"Early","CCL","CD8 T","Myeloid-CLEC10A-APC",5,0.0742954442043304
"Non-malignant","CCL","CD8 T","Myeloid-CLEC10A-APC",6,0.100927502323374
"Advanced","CCL","Cell cycle cell","C6-SLC2A1-like",2,0.0640019722044716
"Early","CCL","Cell cycle cell","C6-SLC2A1-like",5,0.140739397931526
"Advanced","CCL","Cell cycle cell","C7-APOBEC3A-like",2,0.0699661785570836
"Early","CCL","Cell cycle cell","C7-APOBEC3A-like",5,0.16797724007657
"Advanced","CCL","Cell cycle cell","Mac-Cycling",2,0.034454344570095
"Early","CCL","Cell cycle cell","Mac-Cycling",2,0.0877031706513964
"Advanced","CCL","Cell cycle cell","Mac-FOLR2-LYVE1-resident",2,0.0252231158600189
"Early","CCL","Cell cycle cell","Mac-FOLR2-LYVE1-resident",2,0.0395746017940255
"Advanced","CCL","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",2,0.0349436334917984
"Early","CCL","Cell cycle cell","Mac-OLFML3-CX3CR1-resident",2,0.0376187707803898
"Advanced","CCL","Cell cycle cell","Mono-FCN1-S100A8-S100A9",2,0.0302877417438277
"Early","CCL","Cell cycle cell","Mono-FCN1-S100A8-S100A9",2,0.0615689995338868
"Advanced","CCL","Cell cycle cell","Myeloid-CLEC10A-APC",5,0.0576537988040065
"Early","CCL","Cell cycle cell","Myeloid-CLEC10A-APC",5,0.0744335140671321
