"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.25655883031055e-169,2.47213539392272,0.968,0.942,2.80476496513619e-165,"RPL27A"
1.81299877778483e-169,2.05770224574909,0.982,0.971,4.04679457189352e-165,"RPS19"
3.76510765362394e-169,2.67657600151976,0.959,0.882,8.404096793654e-165,"RPL10A"
4.27194630494604e-169,2.29859396347964,0.973,0.932,9.53541134727005e-165,"RPS15A"
4.66985597253973e-169,2.89560889808956,0.955,0.883,1.04235855163059e-164,"RPSA"
5.93945697288036e-169,2.38609909122724,0.971,0.924,1.32574619091662e-164,"RPL14"
3.1702283745548e-168,2.11425842845161,0.986,0.95,7.07626675484376e-164,"RPS28"
1.26997088899959e-167,2.27976269493003,0.971,0.938,2.834702021336e-163,"RPL15"
6.18542529556015e-167,-4.31305445247063,0.104,0.909,1.38064878022198e-162,"FKBP11"
8.79755369419402e-167,2.19376337094878,0.971,0.925,1.96370196008105e-162,"RPL35A"
7.37563645558868e-166,1.97732132310403,0.975,0.938,1.64631581325195e-161,"RPL35"
1.08908102973776e-165,2.53250081531841,0.957,0.868,2.43093776647766e-161,"RPL27"
1.04849546883891e-164,6.4517636651524,0.612,0.038,2.34034673599534e-160,"REL"
7.55610359139263e-164,2.11728664236416,0.973,0.949,1.68659788263475e-159,"RPL18"
1.29557835892338e-163,1.96224978602425,0.973,0.947,2.89186045495287e-159,"RPL37A"
2.98382415396977e-162,2.33369004887263,0.955,0.884,6.66019389407593e-158,"RPL22"
4.0503681884318e-162,6.27790975821603,0.555,0.015,9.04082683339863e-158,"HVCN1"
4.51686482695983e-161,2.26702376221644,0.966,0.944,1.0082093980257e-156,"RPS11"
2.05094458865536e-160,2.08039063044388,0.968,0.945,4.57791341633764e-156,"RPS9"
2.55161334343439e-160,2.40200966103723,0.962,0.871,5.69545614387991e-156,"RPL7"
4.74471770275316e-160,2.04290284672969,0.964,0.9,1.05906843843153e-155,"NACA"
4.76090650777023e-160,1.95233918788671,0.982,0.969,1.06268194159939e-155,"RPL8"
8.90509241725798e-160,2.71474929362054,0.946,0.867,1.98770567845615e-155,"RPS10"
1.94752215272806e-158,5.81679602806221,0.718,0.122,4.34706419710431e-154,"CD69"
