"macrophage_cluster_id","state_C1Q_resident1","state_FCN1_inflammatory_monocyte1","state_APOBEC3A_IFN1","state_SPP1_hypoxic1","state_CD36_lipid1","state_TMEM1761","state_Cycling1","proposed_state"
"0",0.922896715909001,-0.474125053716704,-0.144659230052431,-0.0150400262305102,0.316461188484538,-0.00490742619841963,-0.0997909649859705,"M0-C1Q_resident"
"1",0.261835628830178,-0.445342664653967,-0.0632436404849205,0.40975702064904,0.063904161512085,-0.49112675024787,0.75455353198779,"M1-Cycling"
"2",0.663957264531623,-0.67388853634841,-0.165633437517511,0.0663991360973671,0.171588758852432,-0.112620686485036,-0.13418819116985,"M2-C1Q_resident"
"3",0.105317373871632,-0.361419837789678,0.0861267313325996,0.480624168054962,0.101416808626762,-0.364469553274663,-0.0819826279754333,"M3-SPP1_hypoxic"
"4",0.495549316276362,-0.0822917927325293,0.973583988996545,0.137046546795879,0.28516576431634,0.440650617160672,-0.144300050459399,"M4-APOBEC3A_IFN"
"5",-0.635356760407641,2.40285115185543,-0.0449435741705183,-0.263950730201592,-0.478180537438039,-0.176141724488372,-0.103029155773935,"M5-FCN1_inflammatory_monocyte"
"6",0.129334111454584,-0.216620200355213,-0.154721206179401,1.16421498445432,0.600978507059149,-0.283620256237355,-0.1138028231838,"M6-SPP1_hypoxic"
"7",-0.00697720112242106,-0.240675780451557,0.0385336378445972,0.693840799866891,0.146430999296688,-0.270487061693379,-0.0197009858180173,"M7-SPP1_hypoxic"
"8",-0.52842278664903,0.698522585301199,-0.187085902524401,0.0874596949114692,-0.175935883969251,-0.315098656687799,-0.12660851909535,"M8-FCN1_inflammatory_monocyte"
"9",-0.492426552694744,0.400109863016234,-0.0440699543436694,-0.37293523993016,-0.563482405677888,-0.388154873325766,-0.138832996912176,"M9-FCN1_inflammatory_monocyte"
